polid;politician;firstvote;dateofdeath;w_deflated;dod_father;dod_mother;source_father;source_mother;wealth_father;wealth_mother
00001;Aalberse;1911-03-10;1948-07-05;9707,8997;1898-05-09;Leiden;https://www.openarch.nl/elo:0984ba33-c76e-1d60-fe05-298f622f9de2;;;
00011;Albarda;1914-06-03;1957-04-19;NA;;;;;;
00019;van Alphen;1893-06-23;1911-07-15;167490,5189;1871;Hengelo;https://www.genealogieonline.nl/familie-schulte-einhaus/I3484.php;;;
00022;des Amorie van der Hoeven;1878-05-24;1897-10-13;44575,4162;1855-06-29;Arnhem;;;;
00029;Ankerman;1911-03-10;1928-01-20;-3145,6460;1930-08-28;Nijehaske;https://www.genealogieonline.nl/stamboom_kok/I15717.php;;;
00031;Arnoldts;1878-05-24;1881-12-19;28952,2245;;;;;;
00034;Arts;1914-06-03;1926-03-31;109770,6612;;;;;;
00041;van Asch van Wijck;1878-05-24;1882-09-20;118021,4319;;;;;;
00049;van Baar;1878-05-24;1889-01-26;183627,3825;;;;;;
00057;Bahlmann;1893-06-23;1898-05-13;NA;;;;;;
00066;Bastert;1878-05-24;1902-10-19;203938,7875;;;;;;
00071;de Beaufort;1878-05-24;1918-04-02;NA;;;;;;
00072;Beckers;1914-06-03;1923-01-08;NA;;;;;;
00076;Beelaerts van Blokland;1893-06-23;1897-03-14;331636,5321;;;;;;
00082;Begram;1878-05-24;1890-05-06;1205223,0488;;;;;;
00087;van den Berch van Heemstede;1893-06-23;1917-10-24;409487,5047;;;;;;
00088;van den Berch van Heemstede;1878-05-24;1879-07-02;1834564,9532;;;;;;
00089;van Berckel;1893-06-23;1915-11-10;34066,6736;;;;;;
00090;van Beresteyn;1916-07-18;1948-09-15;NA;;;;;;
00102;Bergsma;1878-05-24;1901-03-15;NA;;;;;;
00104;van Best;1911-03-10;1958-04-21;NA;;;;;;
00106;Beumer;1914-06-03;1946-10-05;NA;;;;;;
00107;van Beuningen;1893-06-23;1908-02-07;1909502,9492;;;;;;
00108;Bevers;1893-06-23;1909-01-05;-4448,8343;;;;;;
00111;Bichon van IJsselmonde;1914-06-03;1923-11-19;NA;;;;;;
00112;Bichon van IJsselmonde;1878-05-24;1889-05-22;469724,6911;;;;;;
00113;de Bieberstein;1878-05-24;1880-10-31;628554,8268;;;;;;
00138;Blussé;1878-05-24;1887-05-19;269896,7668;;;;;;
00150;Bogaardt;1914-06-03;1918-11-14;2148,2417;;;;;;
00152;Boissevain;1914-06-03;1944-04-19;NA;;;;;;
00157;Bongaerts;1914-06-03;1959-05-10;NA;;;;;;
00160;Bool;1893-06-23;1898-01-22;12762,8892;;;;;;
00163;van der Borch van Verwolde;1893-06-23;1919-05-11;208429,4497;;;;;;
00168;Borret;1878-05-24;1900-03-29;66690,1600;;;;;;
00175;Bos;1914-06-03;1916-05-06;30859,8646;;;;;;
00198;Brantsen van de Zijp;1893-06-23;1899-11-08;820004,5988;;;;;;
00202;Bredius jr.;1878-05-24;1878-09-13;12312,9544;;;;;;
00202;Bredius;1878-05-24;1878-09-13;12312,9544;;;;;;
00217;Brouwers;1878-05-24;1892-10-26;119766,4246;;;;;;
00228;Brummelkamp;1914-06-03;1919-01-15;31846,2354;;;;;;
00232;de Bruyn Kops;1878-05-24;1887-10-01;28698,1046;;;;;;
00245;van Bylandt;1893-06-23;1924-07-04;NA;;;;;;
00255;de Caseinbroot;1878-05-24;1895-04-14;1836,9326;;;;;;
